question,answer_short,answer_ideal,answer_short_agg,answer_ideal_agg,dataset,subset
"Did Modjeska Simkins testify about wronful polling practices in 1944?",Yes,"Yes, Modeska Simkins testified about wrongful polling practices in Columbia in 1944.",,,mccray,civil_rights_leaders
"Why did James Hinton and E.A. Adams write to Representative John D. Long of South Carolina in March 1944?","Hinton and Adams wrote to Long because he had recently introduced a resolution to the House of Representatives that inaccurately depicted race relations in South Carolina.","In their letter, Hinton and Adams: + Deny claims that there was racial unity in South Carolina
+ Highlight the ways in which Black South Carolinians were regularly denied their rights + Assert that Black people in South Carolina were fighting for full rights, justice, and equality",,,mccray,civil_rights_leaders
"What was the relationship like between George Elmore and John McCray?","Though Elmore and McCray had once been close allies, rumors circulating in the early 1950s created distance between the two men.","In a 1954 letter to Elmore, McCray expresses: + That he had supported Elmore's political efforts for over 10 years + That he had referred Elmore for multiple positions within the Progressive Democrats and NAACP
+ That he had remained loyal to Elmore despite that impact on his own relationships
+ That he had publicaly defended Elmore and helped care for his family
+That the conflict resulting between them was linked to money and an inaccurate perception of injustice on Elmore's part",,,mccray,civil_rights_leaders
"Did I.S. Leevy support the presidency of Dwight Eisenhower?","Yes, I.S. Leevy favored many of the actions that Eisenhower did to improve Black life in America during his presidency.","It appears that I.S. Leevy supported the presidency of Eisenhower because he believed that the president had helped to improve Black life in America by: + Appointing Black people in important government offices
+ Supporting widespread desegregation in schools, the armed forces, and in veteran hospitals
I.S. Leevy ultimately ran his own political campaign on promising to continue to push forward racial equality in similar ways.",,,mccray,civil_rights_leaders
"Who was Osceola McKaine?","Osceola McKaine was a prominent civil rights activist from Sumter, South Carolina.","Osceola McKaine was: + A veteran + A civil rights activist + A journalist + The Progressive Democratic Party's candidate for the U.S. Senate in 1944",,,mccray,civil_rights_leaders
"Why did Modjeska Simkins testify about polling in Columbia, SC in 1944?","Simkins testified about polling in South Carolina because some voting locations were particpating in illegal polling activities.","Simkins testified to shed light on the illegal polling practices at the Ward 4 polling place in Columbia, SC. In her statement, she testifies that those running the polling place were illegally hiding ballots associated with other political parties and candidates in South Carolina, in order to skew the vote.",,,mccray,civil_rights_leaders
"When was The Lighthouse and Informer established?",1938,"Though established in 1938, The Charleston Lighthouse was first published in 1939. This paper later joined with the People's Informer to become The Lighthouse and Informer in the early 1940s.",,,mccray,lighthouse_and_informer
"Where was The Lighthouse and Informer published?","South Carolina","The paper was first published in Charleston, and later moved to Columbia, SC.",,,mccray,lighthouse_and_informer
"Was Peter Kelly the editor of The Lighthouse and Informer?",No,"No, John McCray was the editor of the newspaper from 1938 to 1954.",,,mccray,lighthouse_and_informer
"Did J.C. Parler write to John McCray about articles in The Lighthouse and Informer?",Yes,"J.C. Parler wrote to John McCray to praise the articles McCray was writing in the newspaper.",,,mccray,lighthouse_and_informer
"How much did a six-month subscription to The Lighthouse and Informer cost in 1946?",1.75,"A six-month subscription was $1.75.",,,mccray,lighthouse_and_informer
"Why was The Lighthouse and Informer created?","To publicize Black struggles in the South.","The newspaper was created to: + Circulate injustices experienced by the Black population
+ Give Black residents of South Carolina a political voice
+ Establish further community among Black southerners",,,mccray,lighthouse_and_informer
"How was The Lighthouse and Informer publication connected to the work of the NAACP?","The paper highlighted the civil rights efforts of SC NAACP chapters.","The newspaper: + Documented the work of SC NAACP Chapters
+ Was credited with making South Carolina the model for other NAACP state chapters",,,mccray,lighthouse_and_informer
"How did The Lighthouse and Informer impact John McCray's career?","McCray's time at the newspaper solidified him as one of the best southern editors and journalists.","Through the newspaper, McCray: + Established himself as a top journalist and editor
+ Solidified his political career + Helped establish the Progressive Democratic Party
+ Championed social justice, Black political participation, and racial equality",,,mccray,lighthouse_and_informer
"Why did The Lighthouse and Informer cease publication?","The newspaper ended because of challenges with leadership and finances.","By the time the newspaper closed in 1954: + John McCray had left the paper
+ The paper had gone bankrupt",,,mccray,lighthouse_and_informer
"Why was The Lighthouse and Informer important?","The newspaper reflected the diverse experiences of Black people in South Carolina.","The Lighthouse and Informer: + Highlighted racial disparities in the South + Promoted Black political engagement + Documented civil rights efforts + Showcased Black life through announcements of births, deaths, and marriages
+ Reflected Black breathroughs in sports and entertainment",,,mccray,lighthouse_and_informer
"What was John McCray's position in the Progressive Democratic Party in 1944?",Chairman,"John McCray was chairman in 1944.",,,mccray,mccray
"Did John McCray receive W. J. Hunter’s support for the Re-elect Truman Campaign?",Yes,"Yes, W.J. Hunter contributed to the Re-elect Truman Campaign.",,,mccray,mccray
"Did John McCray write to John Oscar Floyd on September 23, 1943?",No,"No, John McCray wrote to John Oscar Floyd on October 3, 1944.",,,mccray,mccray
"Did John McCray apply to work with the S.C. Division of the Southern Regional Council?",Yes,"Yes, he applied to work for the organization in the 1950s.",,,mccray,mccray
"What year did John McCray resign as the editor of The Lighthouse and Informer?",1953,"John McCray resigned from his position as editor in 1953.",,,mccray,mccray
"Was it necessary for John McCray to organize the Progressive Democratic Party?",Yes,"Yes, John McCray helped create the PDP because Black people were not allowed to join the State Democratic Party.","Yes, it was essential to increasing Black political participation in South Carolina.","It was necessary for John McCray to help organize the Progressive Democratic Party because the South Carolina Democratic Party (PDP) operated as a private club that prohibited Black participation in its conventions and primaries. Thus, the PDP was created to provide Black South Carolinians with opportunities for political participation, and to expose the official state party's discriminatory practices. Additionally, the work of the PDP also helped to organize the court case Elmore v. Rice, which successfully challenged South Carolina's all-white primary system.",mccray,mccray
"Why did Richard J. Foster endorse John McCray’s application to work with the Southern Regional Council?","Perception of shared beliefs.","Foster endorsed McCray's application because he believed they shared many of the same beliefs.","Foster believed in McCray's power as a political activist.","In his letter of recommendation, Richard J. Foster displayed admiration for the realistic and hardworking approach John McCray used to tackle racial problems in the South. Thus, it is possible that Foster endorsed McCray's application because he viewed McCray as a powerful activist who could use his skills and influence to promote the Council's work in South Carolina.",mccray,mccray
"Did John McCray enjoy working for The Lighthouse and Informer?",Sometimes,"McCray was dedicated to working at The Lighthouse and Informer for 15 years but ultimately left do to conflicts within the organization.","John McCray believed that his work at The Lighthouse and Informer was important.","John McCray believed that his work with The Lighthouse and Informer was important, especially because it gave him a platform to share social and political insights about the Black community in South Carolina. McCray was confident in his work, and remained committed to the newspaper even when his work for the paper caused distress in his personal life. McCray worked for the newspaper for 15 years but ultimately left due to disagreements over compensation, creative license, and management practices.",mccray,mccray
"Did John McCray have any enemies?",Yes,"McCray's collection reflects that he had several conflicts with people who disagreed with his journalism and political activism.","Yes, John McCray had enemies.","Yes, John McCray had enemies. His collection reflects that he had several conflicts over the course of his life. He often clashed with white Democrats, white supremacists, other journalists, and fellow activists. McCray had a well-known feud with fellow activist, Modjeska Simkins. He was also implicated in gossip surrounding The Lighthouse and Informer.",mccray,mccray
"According to John McCray, were Black voters in Marion County being discriminated against?",Yes,"Black residents in Marion County frequently had their voting rights denied.","Yes, Black voters in Marion County experienced discrimination.","Marion County is known as a poor area in which white supremacy was historically entrenched. Additionally, Black voters were being suppressed in many areas within South Carolina. McCray wrote several letters detailing the discrimination that Black voters in Marion County endured, including members of the Board of Registration absenting themselves when Black citizens arrived to vote and ignoring Black voter certificates that allowed them to vote without a literacy test. McCray was involved in pursuing legal action against the Board of Registration as a result of these actions",mccray,mccray
"When was the NAACP founded?","February 12th, 1909","The NAACP was founded on February 12th, 1909.",,,mccray,naacp
"Where was the NAACP organized?","New York City","The NAACP was organized in New York City.",,,mccray,naacp
"Did the NAACP publish a magazine?",Yes,"Yes, the NAACP published The Crisis magazine.",,,mccray,naacp
"Were there white members of the NAACP?",Yes,"Yes, the NAACP had a number of white supporters with paid memberships for the organization.",,,mccray,naacp
"Was Benjamin (Ben) Hooks a secretary for the NAACP?",No,"No, Benjamin Hooks was the executive director of the NAACP.",,,mccray,naacp
"What was the relationship like between the SC State Conference of NAACP Branches and the National Office of the NAACP?",cooperative,"The National Office supported SC NAACP chapters by providing resources to argue local civil rights cases.","The relationship was collaborative.","The relationship between the National Office of the NAACP and the SC State Conference of the NAACP was largely positive and collaborative. While the SC State Conference of Branches paid for most of their legal cases through local fundraising efforts, the National Office also hired and paid for civil rights lawyers who helped SC NAACP chapters secure important civil rights victories.",mccray,naacp
"Was the SC State Conference of the NAACP successful in the fight for civil rights in the 1940s and 50s?","Yes, to varying degrees.","While not all SC NAACP cases led to desegration or equal rights, many of the oranization's efforts did improve living conditions for Black people in South Carolina.","Though the SC State Conference of the NAACP did not win every case, the organization was largely successful in securing a number of civil rights victories during the 1940s and 50s.","During the 1940s and 50s, the SC State Conference of the NAACP played a significant role in securing legal rights in voting, education, employment, and personal protection for Black South Carolinians. Some of the most notable victories during this period included securing equal pay for Black teachers (Duval v. School Board), creating Black access to the Democratic Primary (Elmore v. Rice and Brown v. Baskin), and the creation of a law school at South Carolina State University (Wright v. Board of Trustees). During this period, the SC State Conference also led the Sarah Mae Flemming bus case which helped establish segregation on city buses as unconstitutional. While not every case resulted in a clear victory, the State Conference’s sustained activism still produced lasting change.",mccray,naacp
"Why was Sarah Mae Flemming's city bus lawsuit significant?","Her case challenged segregation on public transit.","Flemming's case was the precedent and inspiration for Rosa Park's bus protest which led to the Mongomery Bus Boycott and eventual desegregation of public buses.","Sarah Mae Flemming's city bus lawsuit was significant because it helped establish segregation on city buses as an unconstitutional practice and served as inspiration and legal precedent for the success of Rosa Parks and the Montgomery Bus Boycott.","Sarah Mae Flemming's case was most significant because it laid the groundwork for making segregation on public transit illegal. Although Flemming's lawsuit was orignally unsuccessful, through the efforts of the NAACP, the case was appealed and led to city bus segregation being deemed illegal and unconstitutional. This ruling would later be used as both the inspiration and precedent for Rosa Parks and the Montogmery Bus Boycott, as well as similar cases, that would eventually lead to the further desegregation of public transit across the country.",mccray,naacp
"What challenges did NAACP chapters face in South Carolina?","Unsucessful cases and retaliation.","In addition to losing some early civil rights cases, members of the NAACP and their associates were often targets of retaliation for their political efforts.","In response to their fight for equality, members of the NAACP faced failed cases, economic reprisals, job loss, and physical danger.","Members of the NAACP faced a number of challenges in their fight for equality including failed court cases, job loss, economic reprisals, and physical hardships. Retaliation against members of the NAACP was rampant in South Carolina, especially impacting Black citizens in Orangeburg, Sumter, Clarendon County, and Columbia who had known connections with the organization. Despite these challenges, Black members of churches, financial institutions, and the community all banded together to support the activists who were being antagonized for their civil rights efforts.",mccray,naacp
"Was the NAACP established as a religious organization?",No,"No, the NAACP was not a religious organization but many of its most notable members had strong religious affiliations.","No, the NAACP was not established as a religious organization.","The NAACP was not established a religious organization but was rather a social and political activist group designed to combat racial discrimination and violence. Despite not being a religious organization, the NAACP did have close ties to the church which has long held a central place in Black communities. The NAACP's ties to religious groups can be seen through the organization using religious language to describe the fight for civil rights; frequent events held at churches; and the prevalence of leaders within the group who had strong religious affiliations.",mccray,naacp
"What does the acronym PDP stand for?","Progressive Democratic Party",,,,mccray,pdp
"When was the Progressive Democratic Party established?","May 24th, 1944","The Progressive Democratic Party was established at a state convention in Columbia, SC on May 24, 1944.",,,mccray,pdp
"Was John McCray a member of the Progressive Democratic Party?",Yes,"Yes, John McCray was a co-founder and member of the Progressive Democratic Party.",,,mccray,pdp
"Was the Progressive Democratic Party a bi-racial political group?",Yes,"Yes, the Progressive Democratic Party had both Black and white members.",,,mccray,pdp
"Was John McCray a Republican?",No,"No, John McCray was a Democrat belonging to the Progressive Democratic Party.",,,mccray,pdp
"How did John McCray help recruit members for the Progressive Democratic Party?","John McCray recruited members for the PDP by helping to organize statewide political groups and fundraising to support the party financially","John McCray recruited members for the PDP by:
+ Helping create local political clubs + Hosting community events
+ Writing about the party in The Lighthouse and Informer
+ Fundraising",,,mccray,pdp
"What did John McCray think of the Progressive Democratic Party?","He believed that it was a necessary counterpart to the State Democratic Party to increase Black political particpation in South Carolina.","John McCray is cited as saying about the PDP that: + it was the organization Black people had been waiting for + it was created to ensure that all citizens could participate in the Democratic Party of South Carolina + it was started in response to white Democrats urging that Black people in South Carolina should go found their own party",,,mccray,pdp
"What does the term Progressive"" stand for in the Progressive Democratic Party?""","Progressive"" was used instead of ""Negro"" when naming the PDP in order to help the party avoid racial discrimination.""","The term ""Progressive"" was used to: + Help the party avoid discrimination by including the term ""Negro"" directly in the party name
+ Encompass the wide range of efforts that the PDP was fighting for",,,mccray,pdp
"What was the relationship like between the Progressive Democratic Party and the State Democratic Party?","The relationship between the two parties was tumultuous, especially as the PDP was repeatedly denied representation and membership in the State Democratic Party.","The relationship between the two parties was complicated because: + The PDP was denied representation in the official branches of both the state and national Democratic Party for several years
+ The PDP remained loyal to FDR despite being denied admission into the official party",,,mccray,pdp
"How did the Progressive Democratic Party improve the lives of Black people in South Carolina?","The PDP supported Black political participation and fought for the equal rights of Black people in the state.","The PDP improved Black life in South Carolina by: + Promoting Black political activity + Fighting for equal rights + Protecting voting rights",,,mccray,pdp
"Was Allen University qualified to train teachers during the 1963 school year?",Yes,"Yes, Allen University was qualified to train teachers for the 1963-1964 school year.",,,mccray,student
"Did John McCray give an address titled, Why Segregation of the Races Must Go""?""",Yes,"Yes, John McCray gave the address that questioned segregation in education in 1951.",,,mccray,student
"How many white students were transported to school in South Carolina, according to the 1951 report released by the State Superintendent of Education?",111238,"According to the report available in 1951, 111,238 white children were transported to and from school.",,,mccray,student
"How many Black students were transported to school in South Carolina, according to the 1951 report released by the State Superintendent of Education?",19735,"According to the report available in 1951, 19,735 Black children were transported to and from school.",,,mccray,student
"In the 1950s, did South Carolina spend more money on Black education than white education?",No,"No, in the 1950s, South Carolina spent more money on white education.",,,mccray,student
"How did Allen University recieve approval to provide teacher training in 1963?","Allen University was approved for teacher training after being reviewed by a special committee that advised the State Board of Education.","Allen University was allowed to provide teacher training as a result of: + Possessing a strong curriculum + Improving financial standing + Improving the physical campus",,,mccray,student
"How did segregation impact Black education?","Segregation led to limited education opportunities for many Black students, especially in the South.","Segregation created Black schools that were frequently:
+ Overcrowded + Underfunded + Unable to provide students with a full range of academic opportunities",,,mccray,student
"Why did John McCray give an address titled, Why Segregation of the Races Must Go""?""","McCray gave the address to explain how segregation was impacting Black education in the South.","In his speech, McCray addressed: + The history of segregation
+ The harm of segregated education
+ Statistics showing how Black education rates compared to white education in South Carolina",,,mccray,student
"How did students help promote desegregation throughout the South?","Students organized numerous desegregation sit-ins and protests.","In order to end segregation, students:
+ Organized protests + Conducted sit-ins
+ Led boycotts
+ Joined youth conventions and political groups",,,mccray,student
"What concerns did people have about placing Black students in vocational schools?","There was widespread concern that placing Black students in vocational schools limited their educational opportunities.","Many people believed that vocational schools: + Did not prepare students for college + Locked Black students into a career path before they even finished school
+ Pushed Black students on the path of working rather than attaining higher education",,,mccray,student
"Did John McCray write reports about Black voter registration?",Yes,"Yes, John McCray wrote public reports discussing Black voter registration.",,,mccray,voting_rights
"Who helped organize the Southern Democratic Conference to support Black voter registration in 1962?","A.T. Walden","A.T. Walden organized the Southern Democratic Conference to support Black voting rights in the South.",,,mccray,voting_rights
"Did United Recording Laboratories provide tapes of Dr. Martin Luther King Jr.'s call for registration and voting?",Yes,"Yes, United Recording Laboratories provided free recordings of Dr. MLK Jr.'s call to voting and registration.",,,mccray,voting_rights
"Did John McCray write to Jack Minnis about creating political cartoons?",Yes,"Yes, McCray asked Minnis to create political cartoons encouraging Black people to vote.",,,mccray,voting_rights
"Did Black voters keep record of reasons they were denied the right to vote in South Carolina?",Yes,"Yes, several Black voters wrote about the reasons they had their voting writes denied.",,,mccray,voting_rights
"How did McCray use political cartoons to support Black voter registration?","McCray suggested creating political cartoons that depicted Black people in voting situations.","John McCray suggested the use of political cartoons: + To encourage Black people to vote by appealing to all classes + To distribute to political and community organizations
+ To promote voting registration drives",,,mccray,voting_rights
"Why did John McCray report on Black voter registration?","John McCray believed that many other media outlets were not creating accurate reports about Black voting trends.","John McCray wrote reports about Black voter registration to: + Provide accurate statistics on the number of Black citizens registered to vote
+ Showcase the success of Black voting rights efforts",,,mccray,voting_rights
"John McCray believed that many other media outlets were not creating accurate reports about Black voting trends.","Increased access to information, political power, and economic success helped lead to a rise in Black voter registration.","According to McCray, Black voter registration in South Carolina improved because of: + Increased accesss to information
+ Economic progress
+ Black local leadership
+ Partnership with white citizens + A decrease in economic retaliation",,,mccray,voting_rights
"Did John McCray believe that the March on Washington would help improve Black voter registration?","No, John McCray did not believe that the March on Washington would improve the condition and circumstances of Black voters.","McCray stated in a letter that he believed the March on Washington to be a waste of time and money. He believed that the only way for Black people to enact real political change was to go vote.",,,mccray,voting_rights
"How did the Southern Democratic Conference support Black, Southern voters?","The Southern Democratic Conference sought to improve Black voting conditions through increasing Black representation within the Democratic party and supporting voter registration drives among Black people.","The Southern Democratic Conference sought to improve Black voting conditions through:
+ Increasing Black representation in party activities
+ Eliminating signs of white supremacy at the ballot
+ Running voter registration drives",,,mccray,voting_rights
"Was an address called ""The Need for Changing"" given at Charleston County Hall in 1947?",Yes,"Yes, John McCray gave an address titled ""The Need for Changing"" at Charleston County Hall in 1947.",,,mccray,jim_crow
"What address on segregation did John McCray give to Pee Dee Union Baptist Church on April 8, 1951?","""Why Segregation of the Races Must Go.""","McCray gave the address ""Why Segregation of the Races Must Go"" at Pee Dee Union Baptist Church in 1951.",,,mccray,jim_crow
"Which court ruling established the ""seperate but equal"" principle that made segregation legal throughout the United States?","Plessy v. Ferguson","The court ruling on the Plessy v. Ferguson case made ""seperate but equal"" segregation legal in the United States.",,,mccray,jim_crow
"Did James Hinton write to John McCray about the treatment of Corporal Linwood Brown in South Carolina?",Yes,"Yes, Hinton wrote to McCray about the mistreatment Corporal Linwood Brown experienced in South Carolina.",,,mccray,jim_crow
"In July 1947, were there any ocean front beaches open to Black people in Charleston, S.C.?",No,"No, there were no ocean front beaches for Black people in Charleston, S.C. in July 1947.",,,mccray,jim_crow
"How did Black people help to dismantle Jim Crow in the United States?","Black people, and their allies, used a combination of social and legal activism to dismantle Jim Crow and secure equal rights.","In order order to dismantle Jim Crow, Black people and their allies: + Petitioned courts + Raised lawsuits against organizations, counties, and states + Campaigned for voter registration + Raised awareness about racial violence and discrimination",,,mccray,jim_crow
"According to John McCray, why was the South unable to operate a ""seperate but equal"" school system that was actually equal?","The South was unable to support adequately support a ""seperate but equal"" school system because of racial bias and lack of funds.","McCray argued that Southern States were unable to support a seperate and truly equal school system due to: + racial discrimination + inadequate funding
Many states in the South were already unable to provide adequate public schooling for white students do to the economy being largely agrarian. With funds already being limited then, it was impossible to ensure that both Black and white schools were well-funded. Due to racial biases that were prevelent in many southern states, whatever funding was available was disportionately alloted to support white schools.",,,mccray,jim_crow
"What was the significance of the Clarendon County school case?","The Clarendon County school case (formally known as Briggs v. Elliot) helped to dismantle legal segregation in education.","The Clarendon County (Briggs v. Elliot) case: + showed the pitfalls of ""seperate but equal"" + led to equal education opportunities for Black people in South Carolina and elsewhere + was the first of five cases that would eventually comprise the Brown v Board of Education case that made segregation illegal in public schools
+ was intended to help lead the way to desegregation in every area of society",,,mccray,jim_crow
"Did serving in the millitary protect Black servicemen from discrimination in the early-20th century?","Serving in the military did not always protect Black servicemen from discrimination in the early 20th-century.","Though serving in the military provided many Black servicemen with some additional rights, many of them still experienced discrimination both at home and abroad. Even those who had been awarded for their contributions abroad were still subject to racial biases and segregation when they returned to the United States.",,,mccray,jim_crow
"Why did members of the NAACP Junior Branch in Charleston request that part of Fort Moultrie be turned into an ocean front resort for Black people?","The branch members requested that part of Fort Moultrie be turned into an ocean front beach resort because Black people had limited beaches that were open to them in South Carolina in the 1940s.","Members of the NAACP wanted part of Fort Moultrie to be turned into a Black, ocean front beach resort in the 1940s because: + the state of South Carolina only had one Black, ocean front beach
+ here were no ocean-front beaches open to Black citizens in Charleston or within 120 miles of the city + the only ""beach"" available to Black residents of Charleston was a river beach that was unsanitary and filled with the city's waste",,,mccray,jim_crow
"Does John McCray's address ""Why Segregation of the Races Must Go?"" discuss school segregation?",Yes,"Yes, the address ""Why Segregation of the Races Must Go"" discusses school segregation.",,,mccray,racial_progress
"Did the National Bar Association make a publication called ""Who's Who Among Negro Lawyers"" in 1945?",Yes,"Yes, the National Bar Association produced a publication called ""Who's Who Among Negro Lawyers"" in 1945.",,,mccray,racial_progress
"What journalist is featured in the interview, ""Prominent Editor Sees Bright Future for Negro Journalists?""","John McCray","John McCray is featured in the interview titled ""Prominent Editor Sees Bright Future for Negro Journalists.""",,,mccray,racial_progress
"Did the S.C. Progressive Democrats release a report titled ""Negro Voter Registration"" in 1963?",Yes,"Yes, the S.C. Progressive Democrats released a report called ""Negro Voter Registration"" in 1963.",,,mccray,racial_progress
"In 1963, did Columbia, South Carolina have a group called the Mayor's Committee on Race Relations?",Yes,"Yes, in 1963, Columbia SC had a group named the Mayor's Commitee on Race Relations.",,,mccray,racial_progress
"How did racial segregation in education impede racial progress in the South?","School segregation prevented many Black children from having regular access to the sound education that could help them become successful.","School segregation and poorly funding Black schools was a tool used to oppress Black people and maintain white supremacy in the South by denying Black people access to vital education that could empower them.",,,mccray,racial_progress
"Why did the National Bar Association produce a publication called ""Who's Who Among Negro Lawyers""?","The National Bar Association created this publication to highlight the growing number of Black lawyers in the profession in 1945.","The National Bar Association produced this publication to: + connect citizens to more Black lawyers + highlight accomplished Black lawyers in the field
+ draw attention to the growing number of Black lawyers a part of the National Bar Association",,,mccray,racial_progress
"Why did John McCray believe that journalism was the key to progress for Black people?","John McCray believed that the press gave Black people a voice and allowed them fight to discrimination.","John McCray believed that the press:
+ gave Black people a platform to discuss racial issues + challenged racial discrimination by raising awareness on the topic
+ gave Black people a public voice",,,mccray,racial_progress
"Why had Black voter registration increased in South Carolina by the early 1960s?","A combination of political activism, voter drives, and community organizing helped to dramtically improve Black voter registration in South Carolina by the early 1960s.","A number of factors helped to improve Black voter registration by the 1960s including: + an increase in Black political power + successful and widespread voter registation drives + community organizing and activism",,,mccray,racial_progress
"How had Black life in Columbia improved by the 1960s?","By the 1960s, life for Black residents of Columbia, SC had improved economically, socially, and politically due to increased opportunities.","By the 1960s, Black residents of Columbia, SC had greater access to:
+ Job opportunities + Public spaces
+ Political power",,,,
When was Modjeska Simkins born?,In 1899.,Modjeska Simkins was born in 1899.,,,simkins,simkins
Was Simkins a founder of Victory Savings Bank?,Yes.,"Yes, Modejeska Simkins was a founder of Victory Savings Bank of Columbia.",,,simkins,simkins
When did Modjeska Simkins run for Columbia City Council?,In 1966 and 1984.,Simkins ran for Columbia City Council in 1966 and 1984.,,,simkins,simkins
Where was Modjeska Simkins born?,"In Columbia, South Carolina.","Simkins was born in Columbia, South Carolina.",,,simkins,simkins
What was Modjeska Simkins legal first name?,Mary.,Mary was Modjeska Simkins legal first name.,,,simkins,simkins
Why did Modjeska Simkins and other Black citizens sue Columbia over the City Council election of 1984?,They sued because the city changed the City Council election date from April 3rd to February 28th which abruptly shortened campaigning time and violated their voting rights.,"Modjeska Simkins and other Black citizens sued Columbia over the election of 1984 because:
+ they believed that changing the election dates disadvantaged Black campaigners and voters
+ they believed that the changes in election dates violated the Voting Rights Act of 1965
+ they wanted the election to be halted until their complaint was reviewed",,,simkins,simkins
Why was Modjeska Simkins asked to leave the Democratic Party in 1966?,"She was asked to leave the Democratic Party due to her association with Herbert Aptheker, a renowned Marxist.","Simkins was asked to leave the Democratic Party by Robert McNair, Earle E. Morris, and T. Easton Merchant if she was unable to disprove her association with the renowned Marxist, Herbert Aptheker. They believed that Marxist ideals were ""un-American"" and conflicted with the values of the Democratic Party of South Carolina.",,,simkins,simkins
What connection did Modjeska Simkins have to Herbert Aptheker?,"Simkins met Aptheker during WW2, and admired his human rights work in addition to his writings about African American life.","Though Simkins had only met Aptheker twice by the late 1960s, she remained an admirer of his human and civil rights efforts. The pair first met during WW2 at Ft. Jackson in Columbia, SC. More than 20 years later, Simkins was asked to give a speech to honor his work. Though unable to attend, Simkins wrote a letter to praise the civil and human rights work of Apetheker, and to commend him for his extensive writing on African Americanl ife and culture. At the time of her letter, Simkins believed that Apetheker wrote about African American history in a way that was far more accurate than other historians at the time.",,,simkins,simkins
How did Simkins promise to improve Columbia if elected to City Council in the 1960s?,"During her campaign, Simkins promised to help Columbia by improving working conditions, housing, community participation in local government, and city maintenance.","Simkins promised to improve Columbia by:
+ providing opportunities for citizens to more directly participate in city politics
+ making elected officials directly accountable to the people they served
+ supporting sum clearance
+ increasing housing and enforcing strict cleaning and maintenance projects throughout the city
+ increasing salaries and enforcing hiring guidelines
+ decreasing crime
+ creating more recreation spaces and daycares in low-income neighborhoods",,,simkins,simkins
Why did Simkins write out her own funeral plans in 1938?,"It is unknown why Simkins wrote out her funeral plans in 1938, just shy of her 39th birthday.","When Simkins wrote out her funeral plans in 1938, she stated that only she knew her reasons for writing the document. Throughout the Civil Rights Movement though, many activists had their lives, families, and belongings threatend which could have potentially influenced this action.",,,simkins,simkins
"Did Southern Conference Educational Fund, Inc. issue a news release on December 28, 1964?",Yes.,"Yes, Southern Conference Educational Fund, Inc. issued a news release on December 28, 1964.",,,simkins,civil_rights
Did Alvin Krebs give a speech about racial inequality in education at the 42nd Annual NAACP Convention?,Yes.,"Yes, Alvin Krebs gave a speech at the convention.",,,simkins,civil_rights
"Who did Simkins write to about desegregation at the University of South Carolina on March 24, 1958?",Roy Wilkins.,"Simkins wrote to Roy Wilkins about desegregation at USC on March 24, 1958.",,,simkins,civil_rights
